APOGEE_ID,RA,DEC,TEFF,LOGG,M_H,FE_H,ALPHA_M,C_FE,CI_FE,N_FE,O_FE,MG_FE,SI_FE,CA_FE,AL_FE,CE_FE,TI_FE,TIII_FE,NI_FE,MN_FE,NA_FE,VSCATTER,SNR,ASPCAPFLAG,STARFLAG,n_sectors_predicted,sectors_predicted_list
2M00082535-5124027,2.105658,-51.400764,6307.593,3.967891,-0.090791,-0.046866,-0.0565347,-0.16264501,-0.140375,1.0932751,-0.0505011,-0.0977765,-0.032461002,0.14057101,0.0569553,,0.64498407,,0.0404,0.07258852,-0.3345204,0.0,406.95624,0,8388608,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00083023+8522412,2.125975,85.37812,5975.888,4.3241315,-0.12094,-0.11069,-0.0020126998,-0.008394003,-0.027795002,0.29319,0.2107929,-0.013261497,0.07675199,-0.028548002,0.058998004,,-0.766431,,0.039761,-0.011707485,-1.2143464,0.17018905,227.70651,16388,50331652,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00083796-1958385,2.158203,-19.977386,5350.0874,4.421803,0.24021,0.23625,0.0313793,0.022636995,0.029485002,0.10858999,0.005994901,0.07759531,0.12345801,-0.020364001,0.24204598,,-0.014310002,,0.041800007,0.051892504,0.118963584,0.041499395,173.85492,16388,0,3,"[2, 29, 107]"
2M00085294-5119523,2.220611,-51.3312,5996.2314,4.2034616,0.15111,0.14407,-0.0070517,-0.040492006,-0.016650006,0.31302,0.14584288,-0.0412215,0.12845197,-0.0626815,0.170566,,-0.23097101,,0.07766001,0.09062052,-0.3675764,0.0,157.45367,0,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00085481-2100045,2.228386,-21.001255,5880.809,4.3969755,-0.12428,-0.12032,-0.0208247,-0.07861399,-0.054212995,0.023722,0.086313896,-0.0525515,0.0727636,-0.062163003,0.086492,,-0.21660101,,-0.014549993,-0.018177502,0.0946636,0.01624322,256.4363,16388,0,4,"[2, 29, 69, 107]"
2M00085687-5117277,2.236971,-51.291054,5692.491,4.4550877,0.13429,0.13252,-0.013802701,-0.13816,-0.11963001,0.088394985,0.061500892,-0.0071295053,0.06499039,0.008660987,0.084546,,-0.14769101,,0.03035,0.017743304,-0.2475764,0.0,218.98398,16517,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00085981-2036359,2.249221,-20.609989,4732.892,4.5678916,-0.14507,-0.14082,0.0254483,-0.103246,-0.06470701,0.002746001,0.013144895,0.0055464953,-0.0055949986,0.0014059991,0.020886004,,-0.076729,,-0.022809997,-0.027917504,0.0086236,0.108769804,173.35608,4,0,4,"[2, 29, 69, 107]"
2M00090109+8517309,2.254565,85.291931,5879.925,4.229041,-0.11807,-0.092248,0.00386107,0.078998,0.018240996,0.400338,0.2743709,0.014339507,0.072369,-0.014784001,0.12116499,,-0.43382302,,0.062987,0.004620515,0.0812666,0.13517642,181.88065,16384,50331648,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00090121-5229418,2.255051,-52.494961,5473.5415,4.179018,-0.23496,-0.24558,0.0960463,0.13036,0.17661999,-0.16295,0.0669699,0.1458845,0.08036649,0.122156,0.301249,,0.061462,,0.026450008,-0.037417486,-0.008176401,0.0,201.25171,68,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00090198-2026002,2.258281,-20.433392,5574.716,4.498099,-0.30274,-0.29493,0.0597853,0.03982401,0.060542002,-0.06412199,0.023381919,0.1285885,0.075513005,-0.0047450066,0.15019602,,-0.022253007,,0.017140001,-0.0761075,0.4192856,0.0913325,156.46466,16452,0,4,"[2, 29, 69, 107]"
2M00090760-2114154,2.281669,-21.237631,4789.18,4.539293,-0.19939,-0.19949,0.1229953,-0.0019402057,0.086689,0.092619,0.1038159,0.17227851,0.088075995,0.048186004,0.19027899,,-0.021816999,,0.03954999,-0.053767487,0.1816986,0.016727924,278.08185,16388,0,4,"[2, 29, 69, 107]"
2M00091059-1954501,2.294127,-19.913937,5847.2944,4.375621,0.068309,0.065566,-0.0040041,-0.056294,-0.030335002,0.17543301,0.15861589,0.024013504,0.0810733,-0.034418,0.09603,,-0.29595798,,0.03372,0.05428651,0.0964326,0.025526937,254.93164,16388,0,3,"[2, 29, 107]"
2M00091320+8547594,2.305017,85.799835,5891.79,4.3434772,-0.018162,-0.016929,-0.0120587,-0.099364996,-0.07352699,0.125557,0.0613319,-0.010419499,0.050431,0.0099709965,0.078182,,-0.409274,,0.049159,0.041661516,0.60666263,0.31046486,273.00885,16388,16,12,"[18, 20, 25, 26, 40, 52, 53, 59, 60, 73, 79, 86]"
2M00092117-2047030,2.338226,-20.784172,4917.321,4.555185,-0.16643,-0.16195,0.1609153,0.06754201,0.14522001,0.0020198077,0.16838291,0.2995785,0.172083,0.015357003,0.241191,,0.04130301,,0.058450006,-0.060387477,0.24696721,0.035388444,150.89577,16388,0,4,"[2, 29, 69, 107]"
2M00092646-5118027,2.360266,-51.300762,5603.159,4.4730334,0.059824,0.061751,-0.0347057,-0.136787,-0.100418,-0.008036599,0.008611597,-0.029074494,0.034957,-0.014443997,0.030618005,,-0.0430291,,0.0063210055,-0.0037384853,-0.06906541,0.0,276.46182,0,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00092930-2002313,2.372119,-20.042048,5990.411,4.1554375,-0.38956,-0.39361,0.0457833,0.04903698,0.056237996,-0.16268003,0.15761289,0.078092694,0.14427099,0.030815989,0.176956,,-0.055406004,,-0.026679993,-0.075627476,0.3471436,0.015932137,272.5267,16384,0,3,"[2, 29, 107]"
2M00092965-2030084,2.373546,-20.502337,5783.413,4.436639,-0.26684,-0.26414,0.0478523,0.004248798,0.033058003,-0.07842702,0.1780529,0.0983495,0.100201994,-0.018741995,0.19031401,,-0.415281,,0.028490007,-0.05599749,0.1089036,0.009442619,491.02643,16384,0,4,"[2, 29, 69, 107]"
2M00093045-2055152,2.376903,-20.92091,5827.4985,4.1395383,-0.23423,-0.23349,0.0234393,0.03075701,0.07003902,-0.081480995,0.061953917,0.05805841,0.08525801,-0.02785398,0.16480601,,-0.39779103,,0.015240014,-0.025447473,0.1998536,0.043282133,266.32126,16384,0,4,"[2, 29, 69, 107]"
2M00093451-2040017,2.393792,-20.667154,5608.177,4.1114154,-0.019289,-0.020548,0.0828353,0.057110004,0.089303,0.073595,0.1225419,0.1695375,0.135511,-0.027549,0.32840398,,-0.068730995,,0.053460002,0.035810515,0.009111596,0.051307455,236.15588,16513,0,4,"[2, 29, 69, 107]"
2M00093521-2122547,2.396739,-21.381865,5654.748,4.272395,-0.15983,-0.13775,-0.0975547,-0.044716,-0.046840012,0.050249994,-0.34194708,-0.091801494,-0.15349701,0.407996,0.334356,,0.87500906,,-0.12176001,0.08365251,-0.2983264,0.39464855,953.15594,4,8388608,4,"[2, 29, 69, 107]"
2M00093614-2010243,2.400589,-20.173418,5983.252,4.3423586,-0.46657,-0.46557,0.0533513,0.05772403,0.062032014,-0.38458,0.15436292,0.094103515,0.13261202,-0.0722051,0.080026,,-0.11915198,,0.036269993,-0.09738752,-0.053076357,0.08321402,295.8671,4,0,3,"[2, 29, 107]"
2M00093629-5144134,2.401246,-51.73708,6777.5244,4.015276,-0.16975,-0.16284,0.0423663,0.10721999,0.16235998,-0.37689,0.16792288,0.012689486,0.17788298,-0.0058950037,-0.111914024,,,,-0.033000007,0.0009125024,-0.40103638,0.0,307.9469,68,0,10,"[2, 28, 29, 68, 69, 96, 103, 104, 105, 106]"
2M00094149-2113539,2.422899,-21.231642,6184.206,4.1195703,-0.047216,-0.048168,-0.0171827,-0.052929003,-0.022996996,0.024511002,0.0761859,-0.0446095,0.089729995,-0.031003002,0.0577561,,-0.221959,,-0.00043500215,-0.016649488,0.1705386,0.032820832,459.38223,0,0,4,"[2, 29, 69, 107]"
